Linux 6.8.0-87-generic (Matheusm-Vivobook) 	26/11/2025 	_x86_64_	(12 CPU)

19:59:50     active/s passive/s    iseg/s    oseg/s
19:59:51         0,00      0,00      2,00      1,00
19:59:52         4,00      2,00     31,00     34,00
19:59:53         4,00      1,00   1855,00   3626,00
19:59:54         0,00      0,00   2894,00   5957,00
19:59:55         0,00      0,00   3051,00   6160,00
19:59:56         0,00      0,00   2863,00   5722,00
19:59:57         0,00      0,00   3266,00   6705,00
19:59:58         0,00      0,00   3063,00   6204,00
19:59:59         0,00      0,00   3049,00   6216,00
20:00:00         0,00      0,00   3231,00   6510,00
20:00:01         0,00      0,00   3054,00   6226,00
20:00:02         0,00      0,00   3198,00   6440,00
20:00:03         0,00      0,00   1173,00   2315,00
20:00:04         0,00      0,00      1,00      1,00


Average:         0,57      0,21   2195,07   4436,93
