Linux 6.8.0-87-generic (Matheusm-Vivobook) 	26/11/2025 	_x86_64_	(12 CPU)

19:56:36     active/s passive/s    iseg/s    oseg/s
19:56:37         0,00      0,00      0,00      0,00
19:56:38         0,00      0,00      0,00      0,00
19:56:39         8,00      3,00   1650,00   3153,00
19:56:40         0,00      0,00   2946,00   5932,00
19:56:41         0,00      0,00   2889,00   5558,00
19:56:42         0,00      0,00   3079,00   6000,00
19:56:43         0,00      0,00   2975,00   5904,00
19:56:44         0,00      0,00   3241,00   6489,00
19:56:45         0,00      0,00   3138,00   6184,00
19:56:46         0,00      0,00   2736,00   5327,00
19:56:47         0,00      0,00   3118,00   6253,00
19:56:48         0,00      0,00   3226,00   6503,00
19:56:49         0,00      0,00   1800,00   3666,00
19:56:50         0,00      0,00      1,00      1,00
19:56:51         0,00      0,00      0,00      0,00
19:56:52         0,00      0,00      0,00      0,00

Average:         0,50      0,19   1924,94   3810,63
