Linux 6.8.0-87-generic (Matheusm-Vivobook) 	26/11/2025 	_x86_64_	(12 CPU)

20:01:57     active/s passive/s    iseg/s    oseg/s
20:01:58         0,00      0,00      0,00      0,00
20:01:59         6,00      3,00     58,00     62,00
20:02:00         0,00      0,00   2154,00   4288,00
20:02:01         0,00      0,00   2934,00   5862,00
20:02:02         0,00      0,00   2859,00   5759,00
20:02:03         0,00      0,00   3364,00   6640,00
20:02:04         0,00      0,00   3202,00   6578,00
20:02:05         0,00      0,00   2921,00   5831,00
20:02:06         0,00      0,00   2789,00   5766,00
20:02:07         0,00      0,00   3220,00   6462,00
20:02:08         0,00      0,00   2925,00   5815,00
20:02:09         0,00      0,00   3008,00   6035,00
20:02:10         0,00      0,00    986,00   1859,00
20:02:11         0,00      0,00      0,00      0,00


Average:         0,43      0,21   2172,86   4354,07
