Attaching 3 probes...
PID   COMM       LADDR           LPORT RADDR           RPORT TX_KB RX_KB MS
0     swapper/4  ::1             8080  ::1             41998      0     0 6139
0     swapper/4  ::1             8080  ::1             41992      0     1 6139
0     swapper/4  ::1             8080  ::1             42002      2     3 8977
409978 Chrome_Chi ::1             41992 ::1             8080       1     0 15045
409978 Chrome_Chi ::1             41998 ::1             8080       0     0 15045
409978 Chrome_Chi ::1             42002 ::1             8080       3     2 14948
409978 Chrome_Chi 169.254.83.157  49272 169.254.193.8   3000       0     0 14875
409978 Chrome_Chi 169.254.83.157  49292 169.254.193.8   3000       0     0 14860
0     swapper/11 ::1             8080  ::1             33104      2     4 13390





