Linux 6.8.0-87-generic (Matheusm-Vivobook) 	26/11/2025 	_x86_64_	(12 CPU)

18:25:44     active/s passive/s    iseg/s    oseg/s
18:25:45         0,00      0,00      0,00      0,00
18:25:46         0,00      0,00      0,00      0,00
18:25:47         0,00      0,00      0,00      0,00
18:25:48         6,00      3,00    371,00    754,00
18:25:49         0,00      0,00   3104,00   6222,00
18:25:50         0,00      0,00   3353,00   6771,00
18:25:51         0,00      0,00   3359,00   6768,00
18:25:52         0,00      0,00   2971,00   5932,00
18:25:53         0,00      0,00   3187,00   6299,00
18:25:54         0,00      0,00   2898,00   5643,00
18:25:55         0,00      0,00   2872,00   5639,00
18:25:56         0,00      0,00   3064,00   6078,00
18:25:57         0,00      0,00   3035,00   5946,00
18:25:58         0,00      0,00   3042,00   6017,00
18:25:59         0,00      0,00   2798,00   5641,00
18:26:00         0,00      0,00   2844,00   5635,00
18:26:01         0,00      0,00   2859,00   5637,00
18:26:02         0,00      0,00   2814,00   5641,00
18:26:03         0,00      0,00   2827,00   5645,00
18:26:04         0,00      0,00   2869,00   5639,00
18:26:05         0,00      0,00   2949,00   5969,00
18:26:06         0,00      0,00   2954,00   5917,00
18:26:07         0,00      0,00   2825,00   5660,00
18:26:08         0,00      0,00   2691,00   5367,00
18:26:09         0,00      0,00   2953,00   5901,00
18:26:10         0,00      0,00   2947,00   5882,00
18:26:11         0,00      0,00   2979,00   5983,00
18:26:12         0,00      0,00   2952,00   5912,00
18:26:13         0,00      0,00   2832,00   5638,00
18:26:14         0,00      0,00   2805,00   5651,00
18:26:15         0,00      0,00   2717,00   5375,00
18:26:16         0,00      0,00   2932,00   5909,00
18:26:17         0,00      0,00   2808,00   5616,00
18:26:18         0,00      0,00   2850,00   5622,00
18:26:19         0,00      0,00   2816,00   5684,00
18:26:20         0,00      0,00   2656,00   5248,00
18:26:21         0,00      0,00   2861,00   5746,00
18:26:22         0,00      0,00   2825,00   5526,00
18:26:23         1,00      1,00   2721,00   5452,00
18:26:24         0,00      0,00   2813,00   5639,00
18:26:25         0,00      0,00   2832,00   5641,00
18:26:26         0,00      0,00   2977,00   5838,00
18:26:27         0,00      0,00   2694,00   5445,00
18:26:28         0,00      0,00   2723,00   5364,00
18:26:29         0,00      0,00   2707,00   5342,00
18:26:30         0,00      0,00   3294,00   6418,00
18:26:31         0,00      0,00   3017,00   5639,00
18:26:32         0,00      0,00   3207,00   6316,00
18:26:33         0,00      0,00   2702,00   5327,00
18:26:34         0,00      0,00   2878,00   5670,00
18:26:35         0,00      0,00   2988,00   5930,00
18:26:36         0,00      0,00   2874,00   5662,00
18:26:37         0,00      0,00   2594,00   5096,00
18:26:38         0,00      0,00   2826,00   5470,00
18:26:39         0,00      0,00   2810,00   5639,00
18:26:40         0,00      0,00   2488,00   4659,00
18:26:41         0,00      0,00   2905,00   5648,00
18:26:42         0,00      0,00   3036,00   5896,00
18:26:43         0,00      0,00   2691,00   5225,00
18:26:44         0,00      0,00   2883,00   5760,00
18:26:45         0,00      0,00   2802,00   5519,00
18:26:46         0,00      0,00   2852,00   5805,00
18:26:47         0,00      0,00   2807,00   5470,00
18:26:48         0,00      0,00   2878,00   5638,00
18:26:49         0,00      0,00      2,00      1,00
18:26:50         0,00      0,00      0,00      0,00
18:26:51         0,00      0,00      0,00      0,00
18:26:52         0,00      0,00      0,00      0,00
18:26:53         0,00      0,00      0,00      0,00
18:26:54         0,00      0,00      0,00      0,00


Average:         0,10      0,06   2480,29   4914,60
