Attaching 3 probes...
PID   COMM       LADDR           LPORT RADDR           RPORT TX_KB RX_KB MS
0     swapper/2  ::1             8080  ::1             55158      0     0 6106
0     swapper/2  ::1             8080  ::1             55156      0     1 6107
0     swapper/4  ::1             8080  ::1             55166      2     3 6101
409978 Chrome_Chi ::1             55156 ::1             8080       1     0 15030
409978 Chrome_Chi ::1             55158 ::1             8080       0     0 15030
409978 Chrome_Chi ::1             55166 ::1             8080       3     2 14965
409978 Chrome_Chi 169.254.150.8   52292 169.254.215.221 3000       1     0 14915
409978 Chrome_Chi 169.254.150.8   52302 169.254.215.221 3000       0     0 14908
0     swapper/6  ::1             8080  ::1             41244      2     5 13919





