Attaching 3 probes...
PID   COMM       LADDR           LPORT RADDR           RPORT TX_KB RX_KB MS
0     swapper/6  ::1             8080  ::1             39214      0     0 6116
0     swapper/6  ::1             8080  ::1             39204      0     1 6116
0     swapper/9  ::1             8080  ::1             39218      2     3 6084
409978 Chrome_Chi ::1             39204 ::1             8080       1     0 15039
409978 Chrome_Chi ::1             39214 ::1             8080       0     0 15039
409978 Chrome_Chi ::1             39218 ::1             8080       3     2 14964
409978 Chrome_Chi 169.254.150.8   51400 169.254.215.221 3000       1     0 14927
409978 Chrome_Chi 169.254.150.8   51418 169.254.215.221 3000       0     0 14917
24    ksoftirqd/ ::1             8080  ::1             57958      2     3 13993





