Attaching 3 probes...
PID   COMM       LADDR           LPORT RADDR           RPORT TX_KB RX_KB MS
0     swapper/6  ::1             8080  ::1             41972      0     0 6112
0     swapper/6  ::1             8080  ::1             41960      0     1 6112
0     swapper/6  ::1             8080  ::1             41986      2     3 6085
409978 Chrome_Chi ::1             41960 ::1             8080       1     0 15031
409978 Chrome_Chi ::1             41972 ::1             8080       0     0 15031
409978 Chrome_Chi ::1             41986 ::1             8080       3     2 14961
409978 Chrome_Chi 169.254.150.8   36046 169.254.215.221 3000       1     0 14919
409978 Chrome_Chi 169.254.150.8   36066 169.254.215.221 3000       0     0 14908
0     swapper/10 ::1             8080  ::1             47720      2     5 13756





