Linux 6.8.0-87-generic (Matheusm-Vivobook) 	26/11/2025 	_x86_64_	(12 CPU)

16:10:57     active/s passive/s    iseg/s    oseg/s
16:10:58         0,00      0,00      0,00      0,00
16:10:59         0,00      0,00      0,00      0,00
16:11:00         0,00      0,00      0,00      0,00
16:11:01         6,00      3,00   1999,00   3509,00
16:11:02         0,00      0,00   3380,00   6767,00
16:11:03         0,00      0,00   3385,00   6690,00
16:11:04         0,00      0,00   3116,00   6260,00
16:11:05         0,00      0,00   3062,00   6034,00
16:11:06         0,00      0,00   3068,00   6019,00
16:11:07         0,00      0,00   3220,00   6337,00
16:11:08         0,00      0,00   2946,00   5717,00
16:11:09         0,00      0,00   2930,00   5712,00
16:11:10         0,00      0,00   3039,00   5869,00
16:11:11         0,00      0,00   2840,00   5624,00
16:11:12         0,00      0,00   2913,00   5616,00
16:11:13         0,00      0,00   2789,00   5432,00
16:11:14         0,00      0,00   2913,00   5634,00
16:11:15         0,00      0,00   2799,00   5553,00
16:11:16         0,00      0,00   2871,00   5728,00
16:11:17         0,00      0,00   2627,00   5250,00
16:11:18         0,00      0,00   3057,00   6020,00
16:11:19         0,00      0,00   2840,00   5635,00
16:11:20         0,00      0,00   2938,00   5742,00
16:11:21         0,00      0,00   2906,00   5775,00
16:11:22         0,00      0,00   2892,00   5665,00
16:11:23         0,00      0,00   3049,00   5903,00
16:11:24         0,00      0,00   2940,00   5832,00
16:11:25         0,00      0,00   2725,00   5427,00
16:11:26         0,00      0,00   3175,00   6171,00
16:11:27         0,00      0,00   2853,00   5686,00
16:11:28         0,00      0,00   2903,00   5628,00
16:11:29         0,00      0,00   2888,00   5660,00
16:11:30         0,00      0,00   2612,00   5039,00
16:11:31         0,00      0,00   2730,00   5381,00
16:11:32         0,00      0,00   2816,00   5647,00
16:11:33         0,00      0,00   2883,00   5640,00
16:11:34         0,00      0,00   3023,00   5873,00
16:11:35         1,00      1,00   2643,00   5124,00
16:11:36         0,00      0,00   2696,00   5326,00
16:11:37         0,00      0,00   2999,00   5946,00
16:11:38         0,00      0,00   2636,00   5079,00
16:11:39         0,00      0,00   3013,00   5891,00
16:11:40         0,00      0,00   2754,00   5395,00
16:11:41         0,00      0,00   2833,00   5392,00
16:11:42         0,00      0,00   3291,00   6434,00
16:11:43         0,00      0,00   2914,00   5590,00
16:11:44         0,00      0,00   2771,00   5089,00
16:11:45         0,00      0,00   2914,00   5384,00
16:11:46         0,00      0,00   2985,00   5670,00
16:11:47         0,00      0,00   2855,00   5623,00
16:11:48         0,00      0,00   2711,00   5360,00
16:11:49         0,00      0,00   2925,00   5620,00
16:11:50         0,00      0,00   2904,00   5623,00
16:11:51         0,00      0,00   2663,00   5106,00
16:11:52         0,00      0,00   2670,00   5051,00
16:11:53         0,00      0,00   2765,00   5357,00
16:11:54         0,00      0,00   2724,00   5393,00
16:11:55         0,00      0,00   2623,00   5257,00
16:11:56         0,00      0,00   2824,00   5409,00
16:11:57         0,00      0,00   2870,00   5635,00
16:11:58         0,00      0,00   2898,00   5637,00
16:11:59         0,00      0,00   2827,00   5672,00
16:12:00         0,00      0,00   2995,00   5598,00
16:12:01         0,00      0,00   1168,00   2255,00
16:12:02         0,00      0,00      0,00      0,00
16:12:03         0,00      0,00      0,00      0,00
16:12:04         0,00      0,00      0,00      0,00
16:12:05         0,00      0,00      0,00      0,00
16:12:06         0,00      0,00      0,00      0,00
16:12:07         0,00      0,00      0,00      0,00
16:12:08         0,00      0,00      0,00      0,00
16:12:09         0,00      0,00      0,00      0,00


Average:         0,10      0,06   2416,64   4713,76
