timestamp,event,sock,time_us,snd_cwnd,snd_ssthresh,sk_sndbuf,sk_wmem_queued
366404391225,rcv,0xffff8e98530265c0,3661132380,10,2147483647,87040,1523
366404394634,rcv,0xffff8e98530265c0,3664536289,10,2147483647,87040,0
366404396362,rcv,0xffff8e98530265c0,3666264423,10,2147483647,87040,972
366404397845,rcv,0xffff8e98530265c0,3667747593,10,2147483647,87040,1982
366404659934,rcv,0xffff8e98530265c0,3929838400,10,2147483647,87040,0
366404752818,rcv,0xffff8e98530265c0,4022720737,10,2147483647,87040,100432
366404752843,rcv,0xffff8e98530265c0,4022745143,12,2147483647,87040,98904
366404752845,rcv,0xffff8e98530265c0,4022747491,14,2147483647,121856,96008
366404753460,rcv,0xffff8e98530265c0,4023362260,16,2147483647,139264,142816
366404753472,rcv,0xffff8e98530265c0,4023374633,18,2147483647,156672,139920
366404753488,rcv,0xffff8e98530265c0,4023390095,20,2147483647,156672,137024
366404754225,rcv,0xffff8e98530265c0,4024127235,22,2147483647,191488,134128
366404754238,rcv,0xffff8e98530265c0,4024139883,24,2147483647,208896,130272
366404754724,rcv,0xffff8e98530265c0,4024626658,26,2147483647,208896,212776
366404754730,rcv,0xffff8e98530265c0,4024632529,26,26,226304,209880
366404754733,rcv,0xffff8e98530265c0,4024634779,26,26,226304,206984
366404755532,rcv,0xffff8e98530265c0,4025434724,26,26,226304,203128
366404755535,rcv,0xffff8e98530265c0,4025437571,26,26,226304,200232
366404755539,rcv,0xffff8e98530265c0,4025441655,26,26,226304,198296
366404756278,rcv,0xffff8e98530265c0,4026180482,26,26,226304,195400
366404756289,rcv,0xffff8e98530265c0,4026190914,26,26,226304,191544
366404756292,rcv,0xffff8e98530265c0,4026193881,26,26,226304,187688
366404756885,rcv,0xffff8e98530265c0,4026787155,26,26,226304,184792
366404756901,rcv,0xffff8e98530265c0,4026803010,27,26,226304,182856
366404756905,rcv,0xffff8e98530265c0,4026806876,27,26,226304,179960
366404757738,rcv,0xffff8e98530265c0,4027640698,27,26,235008,177064
366404757755,rcv,0xffff8e98530265c0,4027656855,27,26,235008,173208
366404758244,rcv,0xffff8e98530265c0,4028146447,27,26,235008,169352
366404758261,rcv,0xffff8e98530265c0,4028163749,27,26,235008,167416
366404758265,rcv,0xffff8e98530265c0,4028166865,27,26,235008,164520
366404758940,rcv,0xffff8e98530265c0,4028842324,27,26,235008,161624
366404758953,rcv,0xffff8e98530265c0,4028854957,27,26,235008,157768
366404759366,rcv,0xffff8e98530265c0,4029268492,27,26,235008,238352
366404759380,rcv,0xffff8e98530265c0,4029281829,28,26,235008,236416
366404759382,rcv,0xffff8e98530265c0,4029284645,28,26,243712,233520
366404760062,rcv,0xffff8e98530265c0,4029964264,28,26,243712,230624
366404760067,rcv,0xffff8e98530265c0,4029969214,28,26,243712,227728
366404760071,rcv,0xffff8e98530265c0,4029973565,28,26,243712,223872
366404760847,rcv,0xffff8e98530265c0,4030749704,28,26,243712,220016
366404760899,rcv,0xffff8e98530265c0,4030801505,28,26,243712,218080
366404760913,rcv,0xffff8e98530265c0,4030815604,28,26,243712,215184
366404761595,rcv,0xffff8e98530265c0,4031498145,28,26,243712,212288
366404761632,rcv,0xffff8e98530265c0,4031534030,28,26,243712,208432
366404761645,rcv,0xffff8e98530265c0,4031547452,29,26,252416,204576
366404762344,rcv,0xffff8e98530265c0,4032247250,29,26,252416,201680
366404762396,rcv,0xffff8e98530265c0,4032298709,29,26,252416,198784
366404762407,rcv,0xffff8e98530265c0,4032308896,29,26,252416,195888
366404763074,rcv,0xffff8e98530265c0,4032977292,29,26,252416,192032
366404763092,rcv,0xffff8e98530265c0,4032994223,29,26,252416,189136
366404763104,rcv,0xffff8e98530265c0,4033006755,29,26,252416,185280
366404763766,rcv,0xffff8e98530265c0,4033668184,29,26,252416,183344
366404763785,rcv,0xffff8e98530265c0,4033687185,29,26,252416,180448
366404763792,rcv,0xffff8e98530265c0,4033694735,29,26,252416,177552
366404764507,rcv,0xffff8e98530265c0,4034410054,30,26,261120,275024
366404764523,rcv,0xffff8e98530265c0,4034424842,30,26,261120,271168
366404765043,rcv,0xffff8e98530265c0,4034946118,30,26,261120,269232
366404765065,rcv,0xffff8e98530265c0,4034966900,30,26,261120,266336
366404765072,rcv,0xffff8e98530265c0,4034974713,30,26,261120,263440
366404765739,rcv,0xffff8e98530265c0,4035641044,30,26,261120,260544
366404765748,rcv,0xffff8e98530265c0,4035650131,30,26,261120,257648
366404765756,rcv,0xffff8e98530265c0,4035658019,30,26,261120,253792
366404766482,rcv,0xffff8e98530265c0,4036384439,30,26,261120,250896
366404766487,rcv,0xffff8e98530265c0,4036388893,30,26,261120,248000
366404766489,rcv,0xffff8e98530265c0,4036391195,31,26,269824,245104
366404767265,rcv,0xffff8e98530265c0,4037167391,31,26,269824,242208
366404767285,rcv,0xffff8e98530265c0,4037187606,31,26,269824,238352
366404767290,rcv,0xffff8e98530265c0,4037192153,31,26,269824,235456
366404767908,rcv,0xffff8e98530265c0,4037810599,31,26,269824,232560
366404767911,rcv,0xffff8e98530265c0,4037813471,31,26,269824,229664
366404767913,rcv,0xffff8e98530265c0,4037815372,31,26,269824,226768
366404768570,rcv,0xffff8e98530265c0,4038472733,31,26,269824,222912
366404768588,rcv,0xffff8e98530265c0,4038490596,22,21,269824,223872
366404768591,rcv,0xffff8e98530265c0,4038493753,21,21,269824,223872
366404769121,rcv,0xffff8e98530265c0,4039023164,21,21,269824,224832
366404769127,rcv,0xffff8e98530265c0,4039028879,21,21,269824,225792
366404769644,rcv,0xffff8e98530265c0,4039546236,21,21,269824,226752
366404769648,rcv,0xffff8e98530265c0,4039550244,21,21,269824,227712
366404769652,rcv,0xffff8e98530265c0,4039553898,21,21,269824,227712
366404770368,rcv,0xffff8e98530265c0,4040269856,21,21,269824,227712
366404770371,rcv,0xffff8e98530265c0,4040273378,21,21,269824,228672
366404770860,rcv,0xffff8e98530265c0,4040762027,21,21,269824,229632
366404770863,rcv,0xffff8e98530265c0,4040765528,21,21,269824,230592
366404770866,rcv,0xffff8e98530265c0,4040768298,21,21,269824,230592
366404771535,rcv,0xffff8e98530265c0,4041437890,21,21,269824,194408
366404771549,rcv,0xffff8e98530265c0,4041450877,21,21,269824,190552
