Linux 6.8.0-87-generic (Matheusm-Vivobook) 	26/11/2025 	_x86_64_	(12 CPU)

19:06:16     active/s passive/s    iseg/s    oseg/s
19:06:17         0,00      0,00      0,00      0,00
19:06:18         0,00      0,00      0,00      0,00
19:06:19         6,00      3,00     50,00     56,00
19:06:20         0,00      0,00   1403,00   2708,00
19:06:21         0,00      0,00   1620,00   3154,00
19:06:22         0,00      0,00   2054,00   3947,00
19:06:23         0,00      0,00   1909,00   3687,00
19:06:24         0,00      0,00   1494,00   2860,00
19:06:25         0,00      0,00   1362,00   2607,00
19:06:26         0,00      0,00   1271,00   2463,00
19:06:27         0,00      0,00   1630,00   3036,00
19:06:28         0,00      0,00   1884,00   3654,00
19:06:29         0,00      0,00   2470,00   4845,00
19:06:30         0,00      0,00    452,00    864,00
19:06:31         0,00      0,00      0,00      0,00
19:06:32         0,00      0,00      0,00      0,00

Average:         0,38      0,19   1099,94   2117,56
