timestamp,event,sock,time_us,snd_cwnd,snd_ssthresh,sk_sndbuf,sk_wmem_queued
354658791327,rcv,0xffff8e984aede5c0,8721399615,10,2147483647,87040,1525
354658794811,rcv,0xffff8e984aede5c0,8724882107,10,2147483647,87040,0
354658796579,rcv,0xffff8e984aede5c0,8726650092,10,2147483647,87040,972
354658798962,rcv,0xffff8e984aede5c0,8729033146,10,2147483647,87040,1982
354659022559,rcv,0xffff8e984aede5c0,8952631500,10,2147483647,87040,0
354659149626,rcv,0xffff8e984aede5c0,9079697084,10,2147483647,87040,100432
354659149652,rcv,0xffff8e984aede5c0,9079722996,12,2147483647,87040,98904
354659149657,rcv,0xffff8e984aede5c0,9079727866,14,2147483647,121856,96008
354659150309,rcv,0xffff8e984aede5c0,9080379911,16,2147483647,139264,142816
354659150322,rcv,0xffff8e984aede5c0,9080393078,18,2147483647,156672,139920
354659150334,rcv,0xffff8e984aede5c0,9080404666,20,2147483647,156672,137024
354659151023,rcv,0xffff8e984aede5c0,9081093912,22,2147483647,191488,134128
354659151031,rcv,0xffff8e984aede5c0,9081101739,24,2147483647,208896,130272
354659151513,rcv,0xffff8e984aede5c0,9081583572,26,2147483647,208896,212776
354659151519,rcv,0xffff8e984aede5c0,9081589739,26,26,226304,209880
354659151522,rcv,0xffff8e984aede5c0,9081592277,26,26,226304,206984
354659152365,rcv,0xffff8e984aede5c0,9082436302,26,26,226304,203128
354659152379,rcv,0xffff8e984aede5c0,9082449442,26,26,226304,200232
354659152387,rcv,0xffff8e984aede5c0,9082457899,26,26,226304,198296
354659153027,rcv,0xffff8e984aede5c0,9083098638,26,26,226304,195400
354659153049,rcv,0xffff8e984aede5c0,9083119843,26,26,226304,191544
354659153491,rcv,0xffff8e984aede5c0,9083561956,26,26,226304,187688
354659153508,rcv,0xffff8e984aede5c0,9083579063,26,26,226304,185752
354659153513,rcv,0xffff8e984aede5c0,9083583572,27,26,235008,182856
354659154342,rcv,0xffff8e984aede5c0,9084412510,27,26,235008,179960
354659154351,rcv,0xffff8e984aede5c0,9084421364,27,26,235008,177064
354659154355,rcv,0xffff8e984aede5c0,9084425590,27,26,235008,173208
354659155075,rcv,0xffff8e984aede5c0,9085145758,27,26,235008,169352
354659155090,rcv,0xffff8e984aede5c0,9085160891,27,26,235008,167416
354659155092,rcv,0xffff8e984aede5c0,9085163136,27,26,235008,164520
354659155718,rcv,0xffff8e984aede5c0,9085788837,27,26,235008,161624
354659155725,rcv,0xffff8e984aede5c0,9085795895,27,26,235008,157768
354659156301,rcv,0xffff8e984aede5c0,9086372338,27,26,235008,238352
354659156318,rcv,0xffff8e984aede5c0,9086388813,28,26,235008,236416
354659156321,rcv,0xffff8e984aede5c0,9086391818,28,26,243712,233520
354659156911,rcv,0xffff8e984aede5c0,9086982122,28,26,243712,229664
354659156922,rcv,0xffff8e984aede5c0,9086992685,28,26,243712,226768
354659156924,rcv,0xffff8e984aede5c0,9086995060,28,26,243712,223872
354659157675,rcv,0xffff8e984aede5c0,9087745354,28,26,243712,220016
354659157692,rcv,0xffff8e984aede5c0,9087763143,28,26,243712,218080
354659157697,rcv,0xffff8e984aede5c0,9087767477,28,26,243712,215184
354659158422,rcv,0xffff8e984aede5c0,9088492287,28,26,243712,212288
354659158425,rcv,0xffff8e984aede5c0,9088496050,28,26,243712,208432
354659158428,rcv,0xffff8e984aede5c0,9088498829,29,26,252416,204576
354659159124,rcv,0xffff8e984aede5c0,9089194465,29,26,252416,201680
354659159129,rcv,0xffff8e984aede5c0,9089199918,29,26,252416,198784
354659159132,rcv,0xffff8e984aede5c0,9089202389,29,26,252416,195888
354659159916,rcv,0xffff8e984aede5c0,9089986497,29,26,252416,192032
354659159919,rcv,0xffff8e984aede5c0,9089989902,29,26,252416,189136
354659159923,rcv,0xffff8e984aede5c0,9089993389,29,26,252416,185280
354659160573,rcv,0xffff8e984aede5c0,9090643425,29,26,252416,183344
354659160578,rcv,0xffff8e984aede5c0,9090648869,29,26,252416,180448
354659160581,rcv,0xffff8e984aede5c0,9090651700,29,26,252416,177552
354659161356,rcv,0xffff8e984aede5c0,9091426848,30,26,261120,275024
354659161362,rcv,0xffff8e984aede5c0,9091432771,30,26,261120,271168
354659161866,rcv,0xffff8e984aede5c0,9091936348,30,26,261120,269232
354659161872,rcv,0xffff8e984aede5c0,9091942433,30,26,261120,266336
354659161875,rcv,0xffff8e984aede5c0,9091945718,30,26,261120,263440
354659162583,rcv,0xffff8e984aede5c0,9092654148,30,26,261120,260544
354659162588,rcv,0xffff8e984aede5c0,9092658324,30,26,261120,257648
354659162591,rcv,0xffff8e984aede5c0,9092662162,30,26,261120,253792
354659163315,rcv,0xffff8e984aede5c0,9093386127,30,26,261120,250896
354659163322,rcv,0xffff8e984aede5c0,9093392247,30,26,261120,248000
354659163325,rcv,0xffff8e984aede5c0,9093395528,31,26,269824,245104
