timestamp,event,sock,time_us,snd_cwnd,snd_ssthresh,sk_sndbuf,sk_wmem_queued
178228496287,rcv,0xffff8e9853026f00,5853953110,10,2147483647,46080,997
178228651530,rcv,0xffff8e9853026f00,6009196561,10,2147483647,46080,49968
178228651684,rcv,0xffff8e9853026f00,6009350816,11,2147483647,46080,49700
178228651763,rcv,0xffff8e9853026f00,6009429379,12,2147483647,46080,48472
178228652642,rcv,0xffff8e9853026f00,6010310795,13,2147483647,46080,48204
178228652792,rcv,0xffff8e9853026f00,6010458403,14,2147483647,46080,46976
178228804380,rcv,0xffff8e9853026f00,6162047107,15,2147483647,46080,46708
178228804470,rcv,0xffff8e9853026f00,6162135873,16,2147483647,46080,45480
178228804513,rcv,0xffff8e9853026f00,6162179382,17,2147483647,46080,45212
178228804689,rcv,0xffff8e9853026f00,6162356693,18,2147483647,46080,43984
178228804769,rcv,0xffff8e9853026f00,6162435315,19,2147483647,46080,43716
178228804795,rcv,0xffff8e9853026f00,6162461256,20,2147483647,46080,42488
178228804815,rcv,0xffff8e9853026f00,6162481300,21,2147483647,46080,42220
178228804840,rcv,0xffff8e9853026f00,6162506183,22,2147483647,46080,40992
178228804865,rcv,0xffff8e9853026f00,6162531345,23,2147483647,46080,39764
178228805187,rcv,0xffff8e9853026f00,6162854220,24,2147483647,110592,143340
178228949531,rcv,0xffff8e9853026f00,6307200768,26,2147483647,119808,141844
178228949712,rcv,0xffff8e9853026f00,6307378613,28,2147483647,129024,140348
178228949767,rcv,0xffff8e9853026f00,6307433059,29,2147483647,129024,140080
178228949810,rcv,0xffff8e9853026f00,6307476501,30,2147483647,129024,138852
178228949840,rcv,0xffff8e9853026f00,6307506475,30,30,138240,137624
178228949883,rcv,0xffff8e9853026f00,6307548996,30,30,138240,136396
178228949915,rcv,0xffff8e9853026f00,6307581314,30,30,138240,135168
178228950195,rcv,0xffff8e9853026f00,6307862965,30,30,138240,133940
178228950285,rcv,0xffff8e9853026f00,6307950988,30,30,138240,132712
178228950388,rcv,0xffff8e9853026f00,6308054457,30,30,138240,131484
178228950437,rcv,0xffff8e9853026f00,6308102987,30,30,138240,130256
178228950498,rcv,0xffff8e9853026f00,6308164073,30,30,138240,129028
178228950536,rcv,0xffff8e9853026f00,6308202458,30,30,138240,127800
178229006819,rcv,0xffff8e9853026f00,6364487731,30,30,138240,126572
178229006981,rcv,0xffff8e9853026f00,6364647786,30,30,138240,126304
178229007019,rcv,0xffff8e9853026f00,6364685131,30,30,138240,124116
178229007719,rcv,0xffff8e9853026f00,6365385893,30,30,138240,123848
178229007797,rcv,0xffff8e9853026f00,6365463086,30,30,138240,121660
178229007869,rcv,0xffff8e9853026f00,6365535486,30,30,138240,120432
178229008989,rcv,0xffff8e9853026f00,6366655661,30,30,138240,118244
178229009076,rcv,0xffff8e9853026f00,6366741961,30,30,138240,117976
178229156390,rcv,0xffff8e9853026f00,6514058719,30,30,138240,115788
178229156550,rcv,0xffff8e9853026f00,6514216014,30,30,138240,115520
178229156589,rcv,0xffff8e9853026f00,6514255364,31,30,138240,114292
178229156614,rcv,0xffff8e9853026f00,6514280209,31,30,142848,113064
178229157034,rcv,0xffff8e9853026f00,6514701432,31,30,142848,111836
178229157138,rcv,0xffff8e9853026f00,6514805085,31,30,142848,110608
178229157231,rcv,0xffff8e9853026f00,6514897606,31,30,142848,109380
178229157289,rcv,0xffff8e9853026f00,6514954843,31,30,142848,106924
178229157343,rcv,0xffff8e9853026f00,6515009783,31,30,142848,104468
178229157392,rcv,0xffff8e9853026f00,6515058663,31,30,142848,102012
178229157443,rcv,0xffff8e9853026f00,6515109616,31,30,142848,99556
178229157502,rcv,0xffff8e9853026f00,6515168537,31,30,142848,97100
178229157567,rcv,0xffff8e9853026f00,6515233246,31,30,142848,94644
178229510351,rcv,0xffff8e9853026f00,6868017515,31,30,142848,187704
178229510443,rcv,0xffff8e9853026f00,6868109314,31,30,142848,187436
178229510492,rcv,0xffff8e9853026f00,6868158247,32,30,142848,185248
178229510525,rcv,0xffff8e9853026f00,6868191386,32,30,147456,183060
178229510561,rcv,0xffff8e9853026f00,6868226856,32,30,147456,182792
178229510585,rcv,0xffff8e9853026f00,6868251496,32,30,147456,180604
178229510617,rcv,0xffff8e9853026f00,6868283211,32,30,147456,180336
178229510643,rcv,0xffff8e9853026f00,6868309210,32,30,147456,178148
178229510678,rcv,0xffff8e9853026f00,6868344381,32,30,147456,177880
178229510702,rcv,0xffff8e9853026f00,6868368434,32,30,147456,175692
178229510740,rcv,0xffff8e9853026f00,6868406518,32,30,147456,175424
178229510764,rcv,0xffff8e9853026f00,6868430294,32,30,147456,173236
178229510850,rcv,0xffff8e9853026f00,6868515800,32,30,147456,172968
178229510884,rcv,0xffff8e9853026f00,6868549784,32,30,147456,170780
178229511018,rcv,0xffff8e9853026f00,6868685486,32,30,147456,170512
178229511068,rcv,0xffff8e9853026f00,6868734190,32,30,147456,168324
178229511129,rcv,0xffff8e9853026f00,6868795348,32,30,147456,168056
178229511146,rcv,0xffff8e9853026f00,6868811713,32,30,147456,165868
178229511166,rcv,0xffff8e9853026f00,6868831814,32,30,147456,165600
178229511182,rcv,0xffff8e9853026f00,6868847827,32,30,147456,163412
178229511205,rcv,0xffff8e9853026f00,6868871462,32,30,147456,163144
178229511220,rcv,0xffff8e9853026f00,6868885924,32,30,147456,160956
178229511241,rcv,0xffff8e9853026f00,6868907604,33,30,152064,160688
178229511268,rcv,0xffff8e9853026f00,6868933773,33,30,152064,159460
178229511281,rcv,0xffff8e9853026f00,6868947133,33,30,152064,158232
178229511301,rcv,0xffff8e9853026f00,6868967249,33,30,152064,157004
178229511318,rcv,0xffff8e9853026f00,6868984057,33,30,152064,155776
178229511337,rcv,0xffff8e9853026f00,6869002772,33,30,152064,154548
178229511349,rcv,0xffff8e9853026f00,6869015535,33,30,152064,153320
178229511367,rcv,0xffff8e9853026f00,6869033207,33,30,152064,152092
178229511380,rcv,0xffff8e9853026f00,6869045763,33,30,152064,150864
